state,district,tehsil,village,lgd_code,khasra_no,guid
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,144,67079bbb-0339-4f1f-a25d-5d5f617a18d3
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,o/129001,078309bd-de2a-4122-9d1f-8405bb346afe
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,33,5378c210-256e-4316-be19-9e60bff90de4
Telangana,Adilabad,Adilabad Rural,Ankoli,569001,73,f0a13e17-dce8-4374-8280-806986f8afba
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,26,a9d857f2-8579-4f71-b888-e7cf9c83c7f9
Telangana,Adilabad,Adilabad Rural,Takli,568988,45,e58e784f-a44b-4332-9f00-2c0205d4bd80
Telangana,Adilabad,Adilabad Rural,Ankoli,569001,95,0538ce91-76c4-440d-9aab-b9f51ac1b80f
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,1,26b4dd81-7453-423b-bc10-b0277411d594
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,72,5065471b-44ad-46e5-b356-6b8a55ff6a20
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,97,20cd7ea1-8b24-497d-83f7-fb85644d34ab
Telangana,Adilabad,Adilabad Rural,Mallapur,568977,17,967b43fe-ca82-4932-b35a-0223a9663716
Telangana,Adilabad,Adilabad Rural,Wanwat,569008,16/22,82498aae-4b36-4ecb-a2d7-32a6d3f44ae6
Telangana,Adilabad,Adilabad Rural,Burnoor,568999,13/12,47595413-e679-4f2e-ac87-7b1188d59dc2
Telangana,Adilabad,Adilabad Rural,Arli (Buzurg),568987,52,23b68861-5572-4b10-bebe-72c7207ecada
Telangana,Adilabad,Adilabad Rural,Chinchughat,569004,19,726eeb39-dc89-4282-8084-6222c574df6b
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,102,60e1e89f-8fba-418b-86bc-b434b90247a3
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,22,f7dd708f-4a4b-461d-8342-03a715b686a3
Telangana,Adilabad,Adilabad Rural,Lokari,569000,o/131922,8591dda8-8bda-4e3c-8e49-44ee5a287d03
Telangana,Adilabad,Adilabad Rural,Landasangvi,568985,74/3,fef7547f-e1a9-4b22-88b3-fd53dd65f1fb
Telangana,Adilabad,Adilabad Rural,Chinchughat,569004,40/7/1,68b9e179-6fc0-4bad-a020-9744917dbe64
Telangana,Adilabad,Adilabad Rural,Anukunta,568993,103,35addd7f-8a24-4955-8faf-31b166ea141d
Telangana,Adilabad,Adilabad Rural,Ankapur,569005,8,775bb544-0b55-4503-915d-5941dd7aa34d
Telangana,Adilabad,Adilabad Rural,Pochera,568979,3/2,a8fda611-7317-40d5-a278-c8a66aa87714
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,47,c5905461-a36d-44d9-b691-71e398a3e935
Telangana,Adilabad,Adilabad Rural,Belluri,569009,o/132722,cd1e21e8-4b57-43e2-8924-dce68494793c
Telangana,Adilabad,Adilabad Rural,Lokari,569000,18,30ef4d52-541f-46c7-81f7-ca0f7d9663a3
Telangana,Adilabad,Adilabad Rural,Bheemseri,568982,o/130574,ba5355f0-23fe-46e8-91dc-8c72ffbea810
Telangana,Adilabad,Adilabad Rural,Ramai,568990,83/11,b9b7c2e8-315d-43b4-a405-3c854700074f
Telangana,Adilabad,Adilabad Rural,Tantoli,568997,105/12,12348ec0-1af2-41f7-b510-07fae7195a48
Telangana,Adilabad,Adilabad Rural,Landasangvi,568985,17/2,cb2fb2f2-b6eb-4c2c-b031-127c658de003
Telangana,Adilabad,Adilabad Rural,Kachkanti,568996,o/129768,5bc62d67-d6ad-4e8c-84d0-e7d0a2896ed8
Telangana,Adilabad,Adilabad Rural,Ganeshpur,568984,16,87828f89-aa5f-406f-b646-34ec53eb68bc
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,191/10,204f6baf-1752-4bb3-bff2-6703d94dabc6
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,60,11ac715e-8945-4f1e-ba62-ab817fa53b85
Telangana,Adilabad,Adilabad Rural,Lokari,569000,15,e1cd690f-18f6-48bb-aca0-b8ec51330474
Telangana,Adilabad,Adilabad Rural,Jamdapur,568976,132,91a75622-21ee-4472-86c5-3ef535cb64f3
Telangana,Adilabad,Adilabad Rural,Anukunta,568993,85,e59c959f-3a40-4374-990a-8ff00d8d71b7
Telangana,Adilabad,Adilabad Rural,Ramai,568990,18,45114a6f-9f50-4a87-a815-f28bd2d2b13b
Telangana,Adilabad,Adilabad Rural,Chinchughat,569004,15/10,08a1e91d-3ae2-47a8-8b99-73b271e8b626
Telangana,Adilabad,Adilabad Rural,Chinchughat,569004,32/33,b4f74b36-0221-4a7f-ac68-30bbf8a2aa73
Telangana,Adilabad,Adilabad Rural,Maleborgaon,569003,13,04c77ebb-165f-4458-91da-27b09917e919
Telangana,Adilabad,Adilabad Rural,Chinchughat,569004,12,5967bd71-06b2-4c7b-b001-ebcac78dd14f
Telangana,Adilabad,Adilabad Rural,Chanda -T,568983,102,446218c4-8412-4f39-bfaa-da0d23365151
Telangana,Adilabad,Adilabad Rural,Landasangvi,568985,75,cc5f4276-050b-48d3-8f9b-3630b58d09e0
Telangana,Adilabad,Adilabad Rural,Landasangvi,568985,47/3,198524fd-65d4-4213-ae7c-197620927264
Telangana,Adilabad,Adilabad Rural,Kachkanti,568996,o/130518,0ec39fa7-594a-47a5-a1eb-128e59591cd8
Telangana,Adilabad,Adilabad Rural,Yapalguda,568992,73/115,4211be0e-9c51-4b73-8a61-75b8e8e0b0d0
